91282CME8,1734889683010205,0,1000000
91282CME8,1734889683010207,1,2000000
91282CME8,1734889683010208,0,3000000
91282CME8,1734889683010209,1,4000000
91282CME8,1734889683010210,0,5000000
91282CME8,1734889683010210,1,1000000
91282CME8,1734889683010211,0,2000000
91282CME8,1734889683010211,1,3000000
91282CME8,1734889683010212,0,4000000
91282CME8,1734889683010212,1,5000000
91282CMB4,1734889683010213,0,1000000
91282CMB4,1734889683010213,1,2000000
91282CMB4,1734889683010213,0,3000000
91282CMB4,1734889683010214,1,4000000
91282CMB4,1734889683010214,0,5000000
91282CMB4,1734889683010216,1,1000000
91282CMB4,1734889683010216,0,2000000
91282CMB4,1734889683010217,1,3000000
91282CMB4,1734889683010217,0,4000000
91282CMB4,1734889683010218,1,5000000
91282CMD0,1734889683010218,0,1000000
91282CMD0,1734889683010219,1,2000000
91282CMD0,1734889683010220,0,3000000
91282CMD0,1734889683010220,1,4000000
91282CMD0,1734889683010220,0,5000000
91282CMD0,1734889683010221,1,1000000
91282CMD0,1734889683010222,0,2000000
91282CMD0,1734889683010222,1,3000000
91282CMD0,1734889683010223,0,4000000
91282CMD0,1734889683010223,1,5000000
91282CMC2,1734889683010224,0,1000000
91282CMC2,1734889683010224,1,2000000
91282CMC2,1734889683010229,0,3000000
91282CMC2,1734889683010230,1,4000000
91282CMC2,1734889683010230,0,5000000
91282CMC2,1734889683010231,1,1000000
91282CMC2,1734889683010231,0,2000000
91282CMC2,1734889683010232,1,3000000
91282CMC2,1734889683010232,0,4000000
91282CMC2,1734889683010233,1,5000000
91282CLW9,1734889683010233,0,1000000
91282CLW9,1734889683010234,1,2000000
91282CLW9,1734889683010234,0,3000000
91282CLW9,1734889683010234,1,4000000
91282CLW9,1734889683010235,0,5000000
91282CLW9,1734889683010235,1,1000000
91282CLW9,1734889683010249,0,2000000
91282CLW9,1734889683010250,1,3000000
91282CLW9,1734889683010250,0,4000000
91282CLW9,1734889683010251,1,5000000
912810UF3,1734889683010252,0,1000000
912810UF3,1734889683010252,1,2000000
912810UF3,1734889683010253,0,3000000
912810UF3,1734889683010253,1,4000000
912810UF3,1734889683010254,0,5000000
912810UF3,1734889683010254,1,1000000
912810UF3,1734889683010255,0,2000000
912810UF3,1734889683010255,1,3000000
912810UF3,1734889683010255,0,4000000
912810UF3,1734889683010255,1,5000000
912810UE6,1734889683010257,0,1000000
912810UE6,1734889683010258,1,2000000
912810UE6,1734889683010258,0,3000000
912810UE6,1734889683010259,1,4000000
912810UE6,1734889683010259,0,5000000
912810UE6,1734889683010259,1,1000000
912810UE6,1734889683010259,0,2000000
912810UE6,1734889683010261,1,3000000
912810UE6,1734889683010262,0,4000000
912810UE6,1734889683010262,1,5000000
